,X,lon,lat
1,1,-79.1368259,35.0305707
2,3,-71.0475773,42.3381437
3,4,-89.0102133,45.220083
4,5,-71.3824374,42.4072107
5,8,-114.3224548,34.483901
6,9,-87.9064736,43.0389025
7,10,2.3522219,48.856614
8,11,-118.1937395,33.7700504
9,12,-118.3286614,34.0928092
10,13,-74.0059413,40.7127837
11,15,-95.712891,37.09024
12,17,-84.8984775,33.9142037
13,18,-85.5016423,36.162839
14,19,9.1829321,48.7758459
15,20,-84.2482809,42.1513952
16,21,-85.6023643,44.3148443
17,22,-89.3985283,40.6331249
18,24,-102.4342115,47.736992
19,25,-71.3824374,42.4072107
20,27,-112.3449773,43.1904709
21,28,-122.1430195,37.4418834
22,29,-114.0708459,51.0486151
23,30,-84.3879824,33.7489954
24,31,-81.1067644,41.7169947
25,32,-110.7624282,43.4799291
26,33,-75.4794257,10.3910485
27,35,-81.6943605,41.49932
28,36,-82.9000751,32.1656221
29,38,-96.7969879,32.7766642
30,39,-80.1436057,40.7882723
31,41,-71.0588801,42.3600825
32,42,-70.6672621,41.9584457
33,43,-95.712891,37.09024
34,44,-74.0059413,40.7127837
35,45,-70.2962408,41.6687897
36,46,-86.158068,39.768403
37,47,-3.435973,55.378051
38,48,-71.0588801,42.3600825
39,49,-86.1349019,40.2671941
40,50,-81.625047,30.356184
41,52,-71.2342248,42.6106478
42,53,-71.0588801,42.3600825
43,54,-71.0588801,42.3600825
44,55,138.6007456,-34.9284989
45,56,-95.712891,37.09024
46,57,-85.3232139,51.253775
47,58,-120.8958242,38.8375215
48,59,-118.2436849,34.0522342
49,60,-84.3879824,33.7489954
50,61,-119.3631783,49.8802046
51,62,-116.419389,34.9592083
52,63,-95.3698028,29.7604267
53,64,-76.218292,42.088432
54,65,-70.2962408,41.6687897
55,67,-117.1610838,32.715738
56,68,-77.6426483,43.0897106
57,69,-71.4161671,41.7001009
58,70,-79.9558968,39.629526
59,72,-71.3824374,42.4072107
60,73,-71.3824374,42.4072107
61,74,-71.5723953,43.1938516
62,75,-96.9561152,32.5884689
63,78,-72.8595447,41.3909139
64,79,-76.091617,39.5492792
65,80,-116.419389,34.9592083
66,81,-93.097702,41.8780025
67,82,121.6283098,-27.6728168
68,83,-77.3832315,44.1627589
69,84,-84.3879824,33.7489954
70,85,-79.0192997,35.7595731
71,86,-99.4672613,27.5759792
72,88,-71.8022934,42.2625932
73,89,-70.8226541,43.9653889
74,90,0.121817,52.205337
75,91,-99.7232673,19.4968732
76,93,-71.3824374,42.4072107
77,94,-115.1398296,36.1699412
78,95,-80.1917902,25.7616798
79,96,-118.2436849,34.0522342
80,97,-72.6148117,42.0695391
81,98,-87.0611412,41.4730948
82,100,-95.712891,37.09024
83,101,-97.1383744,49.895136
84,102,-118.4517449,33.9802893
85,103,-95.712891,37.09024
86,104,-79.0414261,33.5510021
87,105,-118.2200712,33.8958492
88,106,-71.2079809,46.8138783
89,107,-78.9730887,33.6060031
90,108,-71.0588801,42.3600825
91,109,-70.8226541,43.9653889
92,110,-79.9594551,32.778155
93,111,-85.3232139,51.253775
94,112,7.7491265,49.4400657
95,113,-81.5157535,27.6648274
96,114,-72.2600655,41.8809434
97,115,-106.3031138,35.8800364
98,116,-74.0059413,40.7127837
99,117,-98.8705717,30.2743349
100,118,-82.6157331,41.2425531
101,119,-83.1823789,33.5756831
102,120,-85.552896,30.774153
103,121,-74.0059413,40.7127837
104,122,-96.7132304,17.0542297
105,123,-71.3824374,42.4072107
106,124,-76.3452218,37.0298687
107,125,-80.8431267,35.2270869
108,126,-70.2962408,41.6687897
109,128,-71.0588801,42.3600825
110,129,-88.89653,13.794185
111,130,-71.3824374,42.4072107
112,131,-106.6055534,35.0853336
113,132,-71.3824374,42.4072107
114,133,-3.435973,55.378051
115,134,-89.2847251,33.3914427
116,135,-71.0588801,42.3600825
117,136,-70.9175562,42.4709437
118,137,-71.0661653,42.2495321
119,138,-71.0040013,42.2079017
120,140,72.8776559,19.0759837
121,141,-71.1097335,42.3736158
122,142,-80.3582261,27.2730492
123,143,-71.1097335,42.3736158
124,144,-78.944148,44.1050454
125,146,-121.4943996,38.5815719
126,147,-71.0588801,42.3600825
127,148,-120.8958242,38.8375215
128,149,-122.3320708,47.6062095
129,150,-3.435973,55.378051
130,152,-97.7430608,30.267153
131,153,-0.1277583,51.5073509
132,154,-71.5723953,43.1938516
133,155,-122.6716063,45.6318397
134,157,-95.712891,37.09024
135,158,-82.8001026,27.9658533
136,159,-96.9488945,32.8140177
137,160,-96.3977442,30.1668828
138,161,-79.3831843,43.653226
139,162,-70.2147764,44.100351
140,164,10.7913751,45.1564168
141,165,-77.8907839,35.7273509
142,167,-82.6379387,38.4784144
143,168,-99.9018131,31.9685988
144,169,-81.7728543,28.5494447
145,170,-96.9561152,32.5884689
146,171,-83.0363633,42.3149367
147,172,-117.2924917,33.0385349
148,173,-95.712891,37.09024
149,174,-97.1466695,31.549333
150,175,-98.8705717,30.2743349
151,176,-100.9853251,25.4602687
152,177,-71.0588801,42.3600825
153,178,174.885971,-40.900557
154,179,-71.3824374,42.4072107
155,180,-79.0192997,35.7595731
156,181,-74.0856308,40.8126392
157,182,-71.0588801,42.3600825
158,184,-71.4948322,42.8678693
159,185,-73.2544903,45.305771
160,186,-70.7197342,41.7614511
161,187,-44.5550308,-18.512178
162,190,-69.4454689,45.253783
163,191,-3.435973,55.378051
164,192,-72.749538,42.1250929
165,193,-118.2436849,34.0522342
166,194,-94.5165913,32.3159894
167,195,-71.0588801,42.3600825
168,196,-95.712891,37.09024
169,197,-74.297333,4.570868
170,198,-157.8583333,21.3069444
171,199,-71.2478251,42.0653812
172,200,-71.0588801,42.3600825
173,201,-100.3161126,25.6866142
174,202,-71.3824374,42.4072107
175,203,-71.0588801,42.3600825
176,204,-70.7258633,42.195929
177,205,-70.9837369,42.427081
178,206,-99.1411154,23.7369164
179,207,-71.0588801,42.3600825
180,208,-71.0588801,42.3600825
181,209,-99.133208,19.4326077
182,210,151.2092955,-33.8688197
183,211,-64.1650912,-31.40894
184,212,-92.3425775,42.492786
185,213,-122.3477486,37.9357576
186,215,-95.712891,37.09024
187,216,-71.0588801,42.3600825
188,217,-89.6542579,39.1753256
189,218,-71.0588801,42.3600825
190,220,-58.4566864,-34.5620844
191,221,-86.5804473,35.5174913
192,222,-38.460945,-4.1731846
193,223,-62.2663478,-38.7183177
194,224,-80.247146,38.952225
195,225,-71.3824374,42.4072107
196,226,-89.5639119,13.9778279
197,227,-118.2436849,34.0522342
198,228,-99.9018131,31.9685988
199,230,115.893002,-31.861133
200,232,-69.4454689,45.253783
201,233,-70.8226541,43.9653889
202,234,-71.1318333,42.3490533
203,235,-95.712891,37.09024
204,236,-71.0183787,42.0834335
205,237,-46.6333094,-23.5505199
206,238,-70.8226541,43.9653889
207,239,-103.3496092,20.6596988
208,241,-82.0906448,26.9761707
209,242,-71.1550451,41.7014912
210,243,-95.3601343,30.5623998
211,244,-71.0588801,42.3600825
212,245,-71.0782651,42.3473129
213,246,-84.0167423,43.7109732
214,247,-80.4549026,38.5976262
215,248,-88.89653,13.794185
216,249,-71.0588801,42.3600825
217,250,-122.4679536,37.7607369
218,251,-71.0588801,42.3600825
219,253,-76.6412712,39.0457549
220,254,-89.2181911,13.6929403
221,255,-99.133208,19.4326077
222,257,-72.5204827,9.967492
223,261,-84.4651644,39.0325249
224,263,-74.0059413,40.7127837
225,264,-71.2689461,42.5584218
226,267,-76.928531,34.73024
227,269,-95.9979883,41.2523634
228,270,-98.0473058,26.1791134
229,271,-79.9223592,-2.1709979
230,275,-106.346771,56.130366
231,276,-113.897549,50.965817
232,278,-81.5157535,27.6648274
233,279,-95.712891,37.09024
234,280,-81.8164357,33.5419014
235,281,15.8399877,52.1090924
236,282,-71.0806659,42.0467781
237,283,-87.6184065,41.8873607
238,284,-72.5466486,42.1536301
239,285,-80.8431267,35.2270869
240,286,-95.712891,37.09024
241,287,-105.0866504,39.9205411
242,289,-81.3792365,28.5383355
243,290,-70.8226541,43.9653889
244,291,-95.712891,37.09024
245,292,-84.6266111,38.9989499
246,293,-95.3698028,29.7604267
247,294,-74.0059413,40.7127837
248,295,-117.826166,33.7458511
249,296,-58.2546051,-34.7206336
250,297,-80.4549026,38.5976262
251,299,-87.6297982,41.8781136
252,300,-118.2436849,34.0522342
253,301,-119.4179324,36.778261
254,302,-3.7033725,40.4162883
255,303,-70.9036487,41.6376043
256,304,-71.1097335,42.3736158
257,305,-79.0192997,35.7595731
258,306,-99.7232673,19.4968732
259,307,-118.4716364,34.0519861
260,308,-85.4395148,10.6335979
261,309,-71.8356271,42.1945385
262,310,-101.1949825,19.7059504
263,312,-74.0059413,40.7127837
264,313,-97.3522675,37.5644615
265,316,-76.6412712,39.0457549
266,317,-97.7430608,30.267153
267,318,-71.4774291,41.5800945
268,319,-71.0588801,42.3600825
269,321,-88.1064787,43.0605671
270,322,-4.2026458,56.4906712
271,323,-118.1937395,33.7700504
272,324,-119.6981901,34.4208305
273,325,-71.0588801,42.3600825
274,327,-66.590149,18.220833
275,328,-1.478219,53.3725909
276,329,-71.4774291,41.5800945
277,330,-73.087749,41.6032207
278,331,-86.3977735,39.8433769
279,332,121.774017,12.879721
280,333,-79.0192997,35.7595731
281,336,-95.712891,37.09024
282,337,-93.470786,44.8546856
283,338,-86.7816016,36.1626638
284,339,-81.5190053,41.0814447
285,340,-71.4372796,41.7798226
286,342,-71.9922867,42.2439682
287,343,-71.2478251,42.0653812
288,344,-71.0588801,42.3600825
289,345,-79.3831843,43.653226
290,346,-122.5031771,37.9598929
291,347,-95.712891,37.09024
292,348,-71.0588801,42.3600825
293,349,-71.3824374,42.4072107
294,350,-122.3320708,47.6062095
295,351,-71.4774291,41.5800945
296,352,-86.0341463,34.6723069
297,353,-84.3879824,33.7489954
298,355,-78.6981113,35.825293
299,356,-66.6431151,45.9635895
300,357,-70.9704787,41.6130323
301,358,-71.059341,42.3580781
302,359,-93.711332,41.5772115
303,360,-99.133208,19.4326077
304,361,-81.1637245,33.836081
305,363,-96.9488945,32.8140177
306,365,-111.962409,33.406366
307,366,-112.0027559,33.4026039
308,367,-70.7923674,41.6617834
309,368,-79.3723763,43.6524278
310,369,-73.9389213,40.7957399
311,370,-71.0952891,42.5256563
312,371,-71.0952891,42.5256563
313,373,-71.5658233,43.4546962
314,375,-95.2902224,32.9573449
315,376,-73.1856703,40.7320429
316,377,-71.5723953,43.1938516
317,379,-78.8689155,38.4495688
318,380,-113.4909267,53.544389
319,381,-72.9492703,41.6717648
320,382,-71.3824374,42.4072107
321,383,-87.9064736,43.0389025
322,384,-86.5804473,35.5174913
323,385,-71.2643465,42.0909458
324,386,-85.6023643,44.3148443
325,388,-0.026577,52.97894
326,389,-73.6281964,41.0262417
